release date,title,production budget,domestic budget,worldwide gross,domestic gross,negative,positive
18-Sep-13,Enough Said,"$8,000,000","$17,550,872","$25,621,449","$17,550,872",4,5
19-Sep-13,Prisoners,"$46,000,000","$61,002,302","$113,310,547","$61,002,302",29,34
20-Sep-13,Battle of the Year,"$20,000,000","$8,888,355","$16,723,377","$8,888,355",137,95
26-Sep-13,Cloudy with a Chance of Meatballs 2,"$78,000,000","$119,793,567","$274,392,649","$119,793,567",83,59
26-Sep-13,Runner Runner,"$30,000,000","$19,316,646","$60,512,680","$19,316,646",49,28
27-Sep-13,Metallica Through the Never,"$18,000,000","$3,419,967","$9,082,906","$3,419,967",67,64
27-Sep-13,Baggage Claim,"$8,500,000","$21,569,509","$22,885,836","$21,569,509",33,31
27-Sep-13,Don Jon,"$5,500,000","$24,477,704","$41,268,579","$24,477,704",12,24
3-Oct-13,Gravity,"$110,000,000","$274,092,705","$684,657,731","$274,092,705",6,3
4-Oct-13,Parkland,"$10,000,000","$641,439","$1,616,353","$653,651",4,17
4-Oct-13,Grace Unplugged,"$1,700,000","$2,507,159","$2,507,159","$2,507,201",6,9
10-Oct-13,Escape Plan,"$70,000,000","$25,135,965","$103,735,965","$25,135,965",25,22
11-Oct-13,Captain Phillips,"$55,000,000","$107,136,417","$220,648,184","$107,100,855",7,4
11-Oct-13,Machete Kills,"$20,000,000","$8,008,161","$18,273,009","$8,008,161",85,75
11-Oct-13,Khumba,"$15,000,000",$0,"$20,898,221","$1,029",10,16
11-Oct-13,All the Boys Love Mandy Lane,"$750,000",$0,"$1,960,521",$0,21,28
11-Oct-13,Escape from Tomorrow,"$650,000","$171,962","$171,962","$171,962",28,17
18-Oct-13,Carrie,"$30,000,000","$35,266,619","$82,409,520","$33,800,000",44,32
18-Oct-13,The Fifth Estate,"$26,000,000","$3,254,172","$6,154,172","$3,255,008",102,110
18-Oct-13,All is Lost,"$8,500,000","$6,263,670","$10,386,814",$0,0,1
18-Oct-13,I'm in Love with a Church Girl,"$3,000,000","$2,387,730","$2,503,392","$2,387,730",18,18
23-Oct-13,Jackass Presents: Bad Grandpa,"$15,000,000","$102,003,019","$160,903,019","$102,003,019",29,30
25-Oct-13,The Counselor,"$25,000,000","$16,973,715","$71,009,334","$16,973,715",23,23
30-Oct-13,Thor: The Dark World,"$150,000,000","$206,362,140","$644,602,516","$206,362,140",65,40
31-Oct-13,Free Birds,"$55,000,000","$55,750,480","$110,387,072","$55,750,480",43,23
1-Nov-13,Philomena,"$12,000,000","$37,709,979","$98,963,392","$37,709,979",33,33
1-Nov-13,Dallas Buyers Club,"$5,000,000","$27,298,285","$60,611,845","$27,298,285",33,73
6-Nov-13,Inside Llewyn Davis,"$11,000,000","$13,248,209","$32,943,247","$13,235,319",46,45
7-Nov-13,Geograf globus propil,"$4,000,000",$0,"$4,454,853",$0,2,18
8-Nov-13,The Book Thief,"$19,000,000","$21,488,481","$76,086,711","$21,488,481",1,3
15-Nov-13,The Best Man Holiday,"$17,000,000","$70,525,195","$72,835,710","$70,525,195",21,35
15-Nov-13,The Christmas Candle,"$7,000,000","$1,632,000","$1,933,829","$2,258,620",1,5
21-Nov-13,Delivery Man,"$22,000,000","$30,659,817","$55,616,322","$30,664,106",49,29
22-Nov-13,Frozen,"$150,000,000","$400,953,009","$1,274,545,858","$400,953,009",3,0
22-Nov-13,Heli,"$1,000,000",$0,"$552,614",$0,1,0
27-Nov-13,Homefront,"$22,000,000","$20,158,492","$51,695,362","$20,158,898",28,12
27-Nov-13,Black Nativity,"$17,500,000","$7,018,188","$7,454,184","$7,018,189",2,1
28-Nov-13,Mandela: Long Walk to Freedom,"$35,000,000","$8,323,085","$29,890,402","$8,323,085",50,20
28-Nov-13,Space Pirate Captain Harlock,"$30,000,000",$0,"$310,985",$0,11,17
29-Nov-13,Saving Mr. Banks,"$35,000,000","$83,299,761","$114,962,525","$83,301,580",13,31
4-Dec-13,Out of the Furnace,"$22,000,000","$11,330,849","$15,434,375","$11,330,849",59,58
4-Dec-13,Zulu,"$16,000,000",$0,"$1,844,228",$0,1,0
6-Dec-13,47 Ronin,"$175,000,000","$38,362,475","$151,716,815","$38,362,475",17,17
6-Dec-13,The Last Days on Mars,"$10,600,000","$24,084","$261,364","$24,084",4,7
12-Dec-13,The Hobbit: The Desolation of Smaug,"$250,000,000","$258,241,522","$959,358,436","$258,387,334",33,43
12-Dec-13,American Hustle,"$40,000,000","$150,098,456","$257,858,943","$150,117,807",23,31
13-Dec-13,Tyler Perry's A Madea Christmas,"$25,000,000","$52,543,354","$52,543,354",$0,83,43
18-Dec-13,Anchorman 2: The Legend Continues,"$50,000,000","$127,413,176","$172,246,223","$127,352,707",82,107
19-Dec-13,The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$187,861,183","$58,236,838",19,21
19-Dec-13,Dhoom 3,"$24,000,000","$8,031,955","$11,723,620","$8,031,955",14,27
20-Dec-13,Walking with Dinosaurs,"$80,000,000","$36,076,121","$123,368,842",$0,15,5
25-Dec-13,Lone Survivor,"$40,000,000","$125,095,601","$149,804,632","$125,095,601",30,19
25-Dec-13,Grudge Match,"$40,000,000","$29,817,991","$69,817,991","$29,807,260",51,42
25-Dec-13,August: Osage County,"$25,000,000","$37,738,810","$50,738,810","$37,738,810",27,63
3-Jan-14,Paranormal Activity: The Marked Ones,"$5,000,000","$32,462,372","$90,904,854","$32,462,372",31,16
10-Jan-14,The Legend of Hercules,"$70,000,000","$18,848,538","$58,953,319","$18,848,538",26,6
10-Jan-14,Her,"$23,000,000","$25,568,251","$48,038,809","$25,568,251",9,14
10-Jan-14,Banshee Chapter,"$950,000",$0,"$78,122",$0,2,1
17-Jan-14,Jack Ryan: Shadow Recruit,"$60,000,000","$50,577,412","$131,377,412","$50,577,412",69,47
17-Jan-14,The Nut Job,"$30,000,000","$64,251,538","$122,529,966","$64,251,541",3,0
17-Jan-14,Ride Along,"$25,000,000","$134,202,565","$153,733,800","$134,938,200",36,13
17-Jan-14,Devil's Due,"$7,000,000","$15,821,461","$36,146,087","$15,821,461",59,41
31-Jan-14,Labor Day,"$18,000,000","$13,371,528","$14,189,810","$13,371,528",38,60
31-Jan-14,That Awkward Moment,"$8,000,000","$26,068,955","$53,068,955","$26,068,955",22,22
6-Feb-14,The Lego Movie,"$60,000,000","$257,784,718","$467,576,428","$257,966,122",4,0
7-Feb-14,The Monuments Men,"$70,000,000","$78,031,620","$158,702,748","$78,031,620",31,44
7-Feb-14,Nurse 3D,"$10,000,000",$0,"$379,584",$0,39,25
12-Feb-14,RoboCop,"$120,000,000","$58,607,007","$242,981,799","$53,424,681",31,11
14-Feb-14,Endless Love,"$20,000,000","$23,438,250","$34,718,173","$23,438,250",31,10
20-Feb-14,Mr. Peabody & Sherman,"$145,000,000","$111,506,430","$269,806,430","$111,506,430",4,0
21-Feb-14,Pompeii,"$80,000,000","$23,169,033","$108,469,033","$23,219,748",49,38
21-Feb-14,3 Days to Kill,"$28,000,000","$30,697,999","$38,959,900","$30,697,999",16,16
28-Feb-14,Non-Stop,"$50,000,000","$91,742,160","$222,383,055","$92,168,600",6,8
28-Feb-14,Son of God,"$22,000,000","$59,700,064","$70,949,793","$59,700,064",6,9
28-Feb-14,The Lunchbox,"$1,700,000","$4,231,500","$15,517,886","$4,235,151",0,2
5-Mar-14,The Grand Budapest Hotel,"$31,000,000","$59,076,019","$163,037,661","$59,301,324",28,51
7-Mar-14,300: Rise of an Empire,"$110,000,000","$106,580,051","$330,780,051","$106,580,051",27,18
13-Mar-14,Need for Speed,"$66,000,000","$43,568,507","$194,169,619","$43,577,636",54,33
14-Mar-14,Under the Skin,"$13,300,000","$2,614,251","$7,229,933","$2,614,251",5,8
14-Mar-14,Bad Words,"$10,000,000","$7,779,614","$7,843,145","$7,779,614",2,0
14-Mar-14,Veronica Mars,"$6,000,000","$3,322,127","$3,485,383",$0,11,4
14-Mar-14,The Word,"$200,000","$3,648","$3,648",$0,5,12
20-Mar-14,Rio 2,"$130,000,000","$131,538,435","$492,846,291","$131,538,435",4,0
21-Mar-14,Divergent,"$85,000,000","$150,947,895","$276,014,965","$150,947,895",92,59
21-Mar-14,Muppets Most Wanted,"$55,000,000","$51,178,893","$79,312,301","$51,183,113",10,15
21-Mar-14,50 to 1,"$10,000,000","$1,069,454","$1,069,454","$1,064,454",11,14
21-Mar-14,Cheap Thrills,"$100,000","$59,424","$59,424","$59,424",14,20
27-Mar-14,Noah,"$130,000,000","$101,200,044","$352,831,065","$101,200,044",6,9
28-Mar-14,Captain America: The Winter Soldier,"$170,000,000","$259,746,958","$714,401,889","$259,766,572",103,89
28-Mar-14,Sabotage,"$35,000,000","$10,508,518","$18,376,443","$10,508,518",47,50
28-Mar-14,Ida,"$2,600,000","$3,827,060","$15,298,355","$3,827,060",2,6
28-Mar-14,Locker 13,"$300,000","$3,496","$3,496","$3,496",0,4
11-Apr-14,Draft Day,"$25,000,000","$28,842,237","$29,847,480","$28,842,237",20,19
11-Apr-14,The Railway Man,"$18,000,000","$4,438,438","$23,910,210","$4,438,438",3,4
11-Apr-14,Oculus,"$5,000,000","$27,695,246","$44,115,496","$27,695,246",2,2
11-Apr-14,Joe,"$4,000,000","$373,375","$373,375","$373,375",8,15
16-Apr-14,Heaven is for Real,"$12,000,000","$91,386,097","$100,913,556",$0,10,16
18-Apr-14,Transcendence,"$100,000,000","$23,022,309","$103,039,258","$23,022,309",69,76
18-Apr-14,A Haunted House 2,"$4,000,000","$17,329,487","$21,206,861","$17,329,486",0,6
18-Apr-14,13 Sins,"$4,000,000","$9,134","$47,552","$13,809",6,6
23-Apr-14,The Other Woman,"$40,000,000","$83,911,193","$194,270,103","$83,911,193",1,2
23-Apr-14,Brick Mansions,"$28,000,000","$20,396,829","$73,421,224","$20,396,829",73,38
25-Apr-14,Locke,"$2,000,000","$1,370,646","$2,088,390","$1,375,769",2,3
25-Apr-14,Blue Ruin,"$420,000","$258,384","$437,002","$258,384",3,1
2-May-14,Water & Power,"$600,000","$42,557","$42,557","$82,312",1,1
9-May-14,Neighbors,"$18,000,000","$150,086,800","$270,944,428","$150,157,400",34,37
9-May-14,Palo Alto,"$1,000,000","$767,732","$1,156,309","$767,732",28,34
14-May-14,Godzilla,"$160,000,000","$200,676,069","$529,076,069","$200,676,069",14,8
15-May-14,Grace of Monaco,"$30,000,000",$0,"$25,199,891",$0,34,38
15-May-14,Praia do Futuro,"$4,000,000","$20,620","$760,678",$0,18,11
16-May-14,Million Dollar Arm,"$25,000,000","$36,447,959","$39,217,912","$36,457,627",12,4
16-May-14,The Immigrant,"$16,000,000","$2,013,456","$7,585,011","$2,025,328",5,1
21-May-14,X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775","$233,921,534",32,32
22-May-14,Blended,"$45,000,000","$46,290,741","$127,990,741","$46,306,208",25,12
22-May-14,Thunder and the House of Magic,"$34,000,000","$4,091","$62,582,520","$4,091",3,2
23-May-14,The Babadook,"$2,000,000","$950,792","$7,482,387","$964,413",1,0
28-May-14,Maleficent,"$180,000,000","$241,407,328","$758,536,735","$241,410,378",2,0
28-May-14,Edge of Tomorrow,"$178,000,000","$100,206,256","$367,028,980","$100,206,256",40,28
28-May-14,A Million Ways to Die in The West,"$40,000,000","$42,720,965","$86,778,557",$0,25,26
4-Jun-14,The Fault in Our Stars,"$12,000,000","$124,872,350","$307,166,834","$124,872,350",38,34
4-Jun-14,The Rover,"$8,500,000","$1,109,199","$3,180,252","$1,114,423",79,85
5-Jun-14,How to Train Your Dragon 2,"$145,000,000","$177,002,924","$614,586,270","$177,002,924",4,0
5-Jun-14,22 Jump Street,"$50,000,000","$191,719,337","$331,333,876","$191,719,337",85,85
5-Jun-14,Boyhood,"$4,000,000","$25,379,975","$57,273,049","$25,352,281",2,1
6-Jun-14,Anna,"$4,357,373",$0,"$1,200,000","$7,743,794",47,34
6-Jun-14,Obvious Child,"$1,000,000","$3,122,616","$3,324,070","$3,123,963",2,2
13-Jun-14,The Signal,"$4,000,000","$600,896","$2,665,322","$600,896",20,25
13-Jun-14,Los insolitos peces gato,"$1,300,000","$11,278","$54,665",$0,2,0
17-Jun-14,Beneath Hill 60,"$9,000,000",$0,"$3,440,939",$0,11,6
18-Jun-14,Jersey Boys,"$40,000,000","$47,047,013","$65,282,732","$47,047,013",24,65
18-Jun-14,Think Like a Man Too,"$24,000,000","$65,028,687","$70,027,933","$65,182,182",30,18
19-Jun-14,Plastic,"$10,000,000",$0,"$575,371",$0,9,16
19-Jun-14,Z Storm,"$7,000,000",$0,"$2,053,330",$0,0,2
19-Jun-14,The Past is a Grotesque Animal,"$100,000","$20,056","$20,056",$0,9,16
25-Jun-14,La chambre bleue,"$1,400,000","$260,441","$1,945,420",$0,1,0
27-Jun-14,Begin Again,"$8,000,000","$16,170,632","$67,731,796","$16,170,632",22,38
27-Jun-14,They Came Together,"$3,000,000",$0,"$82,780",$0,7,11
2-Jul-14,Deliver Us from Evil,"$30,000,000","$30,577,122","$87,956,618","$30,577,122",59,27
2-Jul-14,Tammy,"$20,000,000","$84,525,432","$96,407,655","$84,525,432",37,21
2-Jul-14,Earth to Echo,"$13,000,000","$38,934,842","$42,174,545","$38,934,842",47,44
3-Jul-14,United Passions,"$30,000,000",$918,"$168,832",$607,5,8
3-Jul-14,Desert Dancer,"$4,000,000","$155,271","$596,335","$155,271",1,0
10-Jul-14,And So It Goes,"$18,000,000","$15,160,801","$17,920,013","$15,160,801",21,9
16-Jul-14,Sex Tape,"$40,000,000","$38,543,473","$126,069,509","$38,543,473",1,1
16-Jul-14,The Purge: Anarchy,"$9,000,000","$71,562,550","$111,534,881","$71,962,800",31,8
17-Jul-14,Planes: Fire and Rescue,"$50,000,000","$59,157,732","$156,399,644",$0,4,0
18-Jul-14,Wish I Was Here,"$6,000,000","$3,591,299","$6,591,365","$3,591,299",1,0
23-Jul-14,Hercules,"$100,000,000","$72,688,614","$243,388,614","$99,112,101",5,8
25-Jul-14,A Most Wanted Man,"$15,000,000","$17,237,855","$36,068,890","$17,237,855",19,8
25-Jul-14,Happy Christmas,"$70,000","$30,312","$30,312","$30,312",45,43
31-Jul-14,Guardians of the Galaxy,"$170,000,000","$333,714,112","$770,882,395","$333,718,600",43,49
1-Aug-14,Get on Up,"$30,000,000","$30,569,935","$33,339,868","$30,703,100",37,57
8-Aug-14,Teenage Mutant Ninja Turtles,"$125,000,000","$191,204,754","$485,004,754","$191,204,754",3,0
8-Aug-14,Into the Storm,"$50,000,000","$47,602,194","$150,429,371","$47,615,959",23,13
8-Aug-14,The Hundred-Foot Journey,"$22,000,000","$54,235,441","$94,270,488","$54,240,821",5,9
8-Aug-14,What If,"$11,000,000","$3,493,000","$9,814,566","$3,493,000",61,85
12-Aug-14,Swelter,"$8,000,000",$0,"$44,197",$0,30,11
14-Aug-14,The Expendables 3,"$100,000,000","$39,322,544","$209,461,378","$39,322,544",34,29
15-Aug-14,The Giver,"$25,000,000","$45,090,374","$66,540,205","$45,090,374",8,3
